,CASE_STATUS,FULL_TIME,PREVAILING_WAGE,lat,lon
318,DENIED,1.0,27602.0,29.5957696,-90.7195348
319,CERTIFIED-WITHDRAWN,0.0,66456.0,40.0362184,-75.5138118
320,CERTIFIED-WITHDRAWN,1.0,100734.0,30.267153000000004,-97.7430608
321,DENIED,0.0,51355.2,42.1619739,-71.042551
322,DENIED,0.0,52686.0,42.2393323,-87.9653565
323,DENIED,1.0,63606.0,37.831316,-122.2852473
324,DENIED,1.0,60729.0,39.9525839,-75.1652215
325,CERTIFIED-WITHDRAWN,1.0,80018.0,38.9012225,-77.2652604
326,WITHDRAWN,1.0,120182.0,37.36883,-122.0363496
327,CERTIFIED-WITHDRAWN,1.0,88275.2,32.715738,-117.1610838
328,CERTIFIED,1.0,44699.0,40.2398118,-76.91997420000001
329,CERTIFIED-WITHDRAWN,1.0,56410.0,42.1428521,-77.05469029999998
330,WITHDRAWN,0.0,35651.0,34.07537620000001,-84.2940899
331,DENIED,0.0,37564.8,44.977753,-93.2650108
332,WITHDRAWN,1.0,85176.0,47.6062095,-122.33207079999998
333,DENIED,1.0,45469.0,40.6781784,-73.94415790000002
334,WITHDRAWN,1.0,59783.0,39.1031182,-84.5120196
335,CERTIFIED-WITHDRAWN,1.0,126630.4,37.6624312,-121.8746789
336,CERTIFIED,1.0,120349.0,37.3860517,-122.0838511
337,CERTIFIED-WITHDRAWN,1.0,48048.0,41.55199520000001,-81.4392828
338,CERTIFIED-WITHDRAWN,1.0,37232.0,35.96063839999999,-83.9207392
339,WITHDRAWN,1.0,69618.0,40.7281575,-74.0776417
340,CERTIFIED-WITHDRAWN,1.0,33010.0,42.3600825,-71.0588801
341,WITHDRAWN,1.0,55744.0,35.7795897,-78.6381787
342,CERTIFIED,1.0,40414.0,26.271192,-80.27060440000002
343,WITHDRAWN,1.0,48110.0,29.7604267,-95.3698028
344,CERTIFIED,0.0,54475.2,42.3222599,-83.1763145
345,DENIED,1.0,46259.0,25.7616798,-80.1917902
346,CERTIFIED,1.0,57678.0,43.16103,-77.61092190000002
347,WITHDRAWN,0.0,60549.0,38.9071923,-77.03687070000002
348,CERTIFIED-WITHDRAWN,1.0,70408.0,39.3600586,-84.309939
349,CERTIFIED,1.0,53394.0,40.744679,-73.94854240000002
350,WITHDRAWN,1.0,20010.0,41.8661403,-88.1070127
351,WITHDRAWN,0.0,51730.0,40.497604,-74.4884868
352,CERTIFIED-WITHDRAWN,1.0,83117.0,38.933867600000006,-77.17726040000002
353,CERTIFIED,1.0,64792.0,43.6187102,-116.2146068
354,CERTIFIED-WITHDRAWN,1.0,36067.0,35.96063839999999,-83.9207392
355,DENIED,1.0,68432.0,41.2306979,-73.064036
356,WITHDRAWN,1.0,46675.0,40.9148209,-74.383763
357,DENIED,0.0,52041.6,42.3736158,-71.10973349999998
358,CERTIFIED,1.0,133682.0,43.07305170000001,-89.4012302
359,CERTIFIED-WITHDRAWN,1.0,70179.0,42.1229099,-71.1092012
360,DENIED,1.0,46633.6,39.2320029,-84.37827340000003
361,CERTIFIED,1.0,103771.0,32.948333500000004,-96.7298519
362,CERTIFIED,1.0,60965.0,39.9525839,-75.1652215
363,CERTIFIED,1.0,76357.0,41.79586389999999,-87.9756175
364,WITHDRAWN,1.0,46883.0,33.6839473,-117.7946942
365,DENIED,1.0,78395.0,44.9211836,-93.4687489
366,CERTIFIED-WITHDRAWN,1.0,64314.0,44.977753,-93.2650108
367,WITHDRAWN,1.0,91083.2,32.715738,-117.1610838
368,DENIED,1.0,71698.0,42.3600825,-71.0588801
369,CERTIFIED,1.0,61526.0,40.4167022,-86.8752869
370,DENIED,1.0,154745.0,42.2809285,-71.23775479999998
371,WITHDRAWN,1.0,58074.0,33.4483771,-112.0740373
372,WITHDRAWN,1.0,112154.0,40.8447819,-73.86482679999997
373,WITHDRAWN,1.0,84302.0,40.44176820000001,-75.3415667
374,CERTIFIED,1.0,47070.0,29.7604267,-95.3698028
375,CERTIFIED-WITHDRAWN,1.0,52000.0,47.6101497,-122.2015159
376,CERTIFIED-WITHDRAWN,1.0,99986.0,44.8832982,-93.2830021
377,CERTIFIED,1.0,65208.0,32.7554883,-97.3307658
378,CERTIFIED-WITHDRAWN,1.0,63482.0,37.54826970000001,-121.9885719
379,CERTIFIED-WITHDRAWN,1.0,70616.0,29.7604267,-95.3698028
380,WITHDRAWN,1.0,69534.0,37.4529598,-122.1817252
381,DENIED,1.0,104954.0,26.2378597,-80.1247667
382,CERTIFIED-WITHDRAWN,1.0,124509.0,37.4852152,-122.2363548
383,WITHDRAWN,1.0,47902.0,35.2270869,-80.8431267
384,CERTIFIED,0.0,46404.8,41.80086420000001,-87.9370052
385,CERTIFIED,1.0,61048.0,41.0534302,-73.53873409999999
386,DENIED,0.0,66456.0,40.0362184,-75.5138118
387,WITHDRAWN,1.0,81869.0,30.1658207,-95.4612625
388,CERTIFIED,0.0,64043.0,33.7489954,-84.3879824
389,CERTIFIED,1.0,66236.0,40.6781784,-73.94415790000002
390,CERTIFIED,0.0,48942.0,29.568841100000004,-97.9647269
391,CERTIFIED,0.0,65000.0,31.7618778,-106.4850217
392,CERTIFIED-WITHDRAWN,1.0,45448.0,40.7127837,-74.00594129999998
